"filename", "language", "JSON", "Markdown", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\SubmissionForm.js", "JavaScript", 0, 0, 11, 0, 0, 5, 16
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\TextEditor\PomEditor.js", "JavaScript", 0, 0, 86, 0, 0, 8, 94
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\TextEditor\ToolBar.js", "JavaScript", 0, 0, 180, 0, 0, 6, 186
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\Transcribe.js", "JavaScript", 0, 0, 61, 0, 5, 14, 80
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\UserPanel.js", "JavaScript", 0, 0, 140, 0, 1, 29, 170
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\YouTubePlayer.js", "JavaScript", 0, 0, 16, 0, 2, 10, 28
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\oldSongs.js", "JavaScript", 0, 0, 23, 0, 0, 4, 27
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\hooks\usePersistedState.js", "JavaScript", 0, 0, 12, 0, 0, 6, 18
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\index.js", "JavaScript", 0, 0, 26, 0, 2, 3, 31
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\package-lock.json", "JSON", 2246, 0, 0, 0, 0, 1, 2247
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\batchimport.js", "JavaScript", 0, 0, 24, 0, 4, 8, 36
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\adjectives.js", "JavaScript", 0, 0, 379, 0, 0, 1, 380
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\animals.js", "JavaScript", 0, 0, 226, 0, 0, 1, 227
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\data\profilepictures.js", "JavaScript", 0, 0, 9, 0, 0, 5, 14
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\handlers\chordhandlers.js", "JavaScript", 0, 0, 26, 0, 0, 7, 33
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\handlers\commenthandlers.js", "JavaScript", 0, 0, 32, 0, 0, 11, 43
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\handlers\musichandlers.js", "JavaScript", 0, 0, 531, 0, 37, 86, 654
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\handlers\userhandlers.js", "JavaScript", 0, 0, 304, 0, 3, 46, 353
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\index.js", "JavaScript", 0, 0, 81, 0, 8, 24, 113
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\package-lock.json", "JSON", 5386, 0, 0, 0, 0, 1, 5387
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\package.json", "JSON", 20, 0, 0, 0, 0, 1, 21
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\tempCodeRunnerFile.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1
"Total", "-", 36838, 40, 5391, 23, 169, 1185, 43646
