"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\package.json", "JSON", 0, 1, 0, 0, 1
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\Diff.js", "JavaScript", 35, 0, 0, 8, 43
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\EditSongPage.js", "JavaScript", 379, 0, 26, 97, 502
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\GlobalStyles.js", "JavaScript", 7, 0, 0, 0, 7
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\MusicContext.js", "JavaScript", -5, 0, 0, 4, -1
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\SongPage.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\index.js", "JavaScript", 4, 0, 0, 1, 5
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\musichandlers.js", "JavaScript", 150, 0, 3, 17, 170
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\server\userhandlers.js", "JavaScript", 4, 0, 0, 0, 4
"Total", "-", 575, 1, 29, 127, 732
